Name;Security;Spread
Credit Suisse Group AG;CCS1E5 CBIN Curncy;407.5664 
HOCHTIEF AG;CY188990 CBIN Curncy;230.5397 
Unibail-Rodamco-Westfield SE;CUNB1E5 CBIN Curncy;227.9332 
ELO SACA;CAUCH1E5 CBIN Curncy;226.9397 
ArcelorMittal SA;CX375736 CBIN Curncy;223.486 
ITV PLC;CX353646 CBIN Curncy;206.4017 
Next PLC;CT356302 CBIN Curncy;205.1119 
LANXESS AG;CX403486 CBIN Curncy;197.1901 
Alstom SA;CALS1E5 CBIN Curncy;184.6358 
Anglo American PLC;CAALL1E5 CBIN Curncy;173.0623 
SES SA;CT357402 CBIN Curncy;172.4277 
Deutsche Bank AG;CY384601 CBIN Curncy;171.4891 
Glencore International AG (EUR);CGLE1E5 CBIN Curncy;169.4512 
HeidelbergCement AG;CHEI1E5 CBIN Curncy;165.6667 
Stellantis NV (EUR);CFIAT1E5 CBIN Curncy;165.4217 
Louis Dreyfus Co BV;CY189038 CBIN Curncy;157.7398 
Continental AG;CCONT1E5 CBIN Curncy;149.5191 
British Telecommunications PLC;CBT1E5 CBIN Curncy;145.7911 
PostNL NV;CTPG1E5 CBIN Curncy;141.552 
Volkswagen AG;CVW1E5 CBIN Curncy;137.0446 
Holcim AG;CHOL1E5 CBIN Curncy;132.0849 
Wendel SE;CMWP1E5 CBIN Curncy;129.262 
Koninklijke Philips NV;CPHG1E5 CBIN Curncy;127.6317 
Tesco PLC;CTSCO1E5 CBIN Curncy;126.9503 
Enel SpA;CENEL1E5 CBIN Curncy;123.9777 
Centrica PLC;CT355177 CBIN Curncy;123.9366 
Electricite de France SA;CEDF1E5 CBIN Curncy;123.3983 
Suedzucker AG;CT716410 CBIN Curncy;121.7162 
Akzo Nobel NV;CAKZO1E5 CBIN Curncy;120.182 
British American Tobacco PLC;CBAT1E5 CBIN Curncy;119.6842 
Imperial Brands PLC;CITOB1E5 CBIN Curncy;115.7907 
CNH Industrial NV;CY184970 CBIN Curncy;115.724 
Telefonica SA;CTLFO1E5 CBIN Curncy;115.1226 
WPP 2005 Ltd;CWPP1E5 CBIN Curncy;113.2243 
Barclays PLC;CY349126 CBIN Curncy;107.9962 
Smurfit Kappa Acquisitions ULC;CY101284 CBIN Curncy;107.337 
EDP Finance BV;CT977475 CBIN Curncy;107.2107 
Vivendi SE;CVIVU1E5 CBIN Curncy;107.2074 
Standard Chartered PLC;CSTC1E5 CBIN Curncy;105.0401 
Fortum Oyj;CBIRK1E5 CBIN Curncy;103.3447 
Cie de Saint-Gobain;CGOB1E5 CBIN Curncy;103.1652 
Assicurazioni Generali SpA;CASS1E5 CBIN Curncy;101.733 
Danske Bank A/S;CY384685 CBIN Curncy;100.1882 
Airbus SE;CAER1E5 CBIN Curncy;99.1718 
Solvay SA;CSOLV1E5 CBIN Curncy;98.4181 
Carrefour SA;CCARR1E5 CBIN Curncy;97.3307 
BNP Paribas SA;CY355903 CBIN Curncy;96.8077 
Stora Enso Oyj;CSTOR1E5 CBIN Curncy;96.6135 
National Grid PLC;CNGG1E5 CBIN Curncy;95.2245 
BP PLC;CBPLN1E5 CBIN Curncy;94.2204 
Vodafone Group PLC;CVOD1E5 CBIN Curncy;92.8364 
HSBC Holdings PLC;CT786869 CBIN Curncy;92.5625 
Publicis Groupe SA;CPUB1E5 CBIN Curncy;92.458 
Naturgy Energy Group SA;CGAS1E5 CBIN Curncy;91.6788 
Bayer AG;CBAYR1E5 CBIN Curncy;90.4157 
E.ON SE;CEON1E5 CBIN Curncy;89.8895 
Koninklijke KPN NV;CKPN1E5 CBIN Curncy;87.1061 
Eni SpA;CENI1E5 CBIN Curncy;85.1005 
Mercedes-Benz Group AG;CDCX1E5 CBIN Curncy;84.3642 
Credit Agricole SA;CY360734 CBIN Curncy;84.078 
SSE PLC;CT373240 CBIN Curncy;83.2128 
Repsol SA;CREP1E5 CBIN Curncy;82.3894 
BASF SE;CBASF1E5 CBIN Curncy;81.5081 
Prudential PLC (EUR);CPRU1E5 CBIN Curncy;80.2731 
Pearson PLC;CPSON1E5 CBIN Curncy;80.0082 
Lloyds Banking Group PLC;CT706822 CBIN Curncy;79.837 
Aegon NV;CAEGO1E5 CBIN Curncy;79.7084 
Aviva PLC;CAVL1E5 CBIN Curncy;79.3809 
ING Groep NV;CINT1E5 CBIN Curncy;77.3893 
Bayerische Motoren Werke AG;CBMW1E5 CBIN Curncy;76.1283 
EnBW Energie Baden-Wuerttemberg AG;CT403449 CBIN Curncy;73.9951 
Iberdrola SA;CIBER1E5 CBIN Curncy;71.4593 
Bouygues SA;CBOUY1E5 CBIN Curncy;68.623 
Volvo AB;CVLVY1E5 CBIN Curncy;66.6303 
Engie SA;CGAZ1E5 CBIN Curncy;65.7359 
AXA SA;CAXA1E5 CBIN Curncy;63.9412 
Veolia Environnement SA;CVIVE1E5 CBIN Curncy;63.6337 
Danone SA;CBSN1E5 CBIN Curncy;63.584 
Swiss Reinsurance Co Ltd;CRUK1E5 CBIN Curncy;58.9884 
Deutsche Telekom AG;CDT1E5 CBIN Curncy;58.6953 
Shell PLC;CT365980 CBIN Curncy;57.7516 
Zurich Insurance Co Ltd;CZUR1E5 CBIN Curncy;57.3164 
Vinci SA;CVINC1E5 CBIN Curncy;56.6247 
Telekom Austria AG;CTKA1E5 CBIN Curncy;56.4018 
STMicroelectronics NV (EUR);CSTM1E5 CBIN Curncy;56.0253 
Telenor ASA;CTELN1E5 CBIN Curncy;55.6894 
AstraZeneca PLC;CAZN1E5 CBIN Curncy;55.0685 
Orange SA;CFTEL1E5 CBIN Curncy;54.5548 
Bertelsmann SE & Co KGaA;CBTG1E5 CBIN Curncy;53.6552 
BAE Systems PLC;CBAE1E5 CBIN Curncy;51.1144 
Siemens AG;CSIEM1E5 CBIN Curncy;50.4289 
TotalEnergies SE;CTELF1E5 CBIN Curncy;48.2568 
Hannover Rueck SE;CHAN1E5 CBIN Curncy;46.416 
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen;CMURE1E5 CBIN Curncy;45.7071 
Carlsberg Breweries AS;CT354143 CBIN Curncy;45.3006 
Koninklijke Ahold Delhaize NV;CAHLD1E5 CBIN Curncy;44.2388 
Koninklijke DSM NV;CDSM1E5 CBIN Curncy;43.5484 
Henkel AG & Co KGaA;CHENK1E5 CBIN Curncy;43.1379 
GSK PLC (EUR);CGSK1E5 CBIN Curncy;42.9152 
Allianz SE;CALZ1E5 CBIN Curncy;42.5611 
Compass Group PLC;CCPG1E5 CBIN Curncy;42.5408 
Kering SA;CPRTP1E5 CBIN Curncy;41.3792 
Sodexo SA;CEXH1E5 CBIN Curncy;41.3252 
Sanofi;CAVE1E5 CBIN Curncy;41.188 
Heineken NV;CT355784 CBIN Curncy;41.1094 
Pernod Ricard SA;CPER1E5 CBIN Curncy;38.5632 
Diageo PLC;CDIAG1E5 CBIN Curncy;38.3741 
Equinor ASA;CSTOI1E5 CBIN Curncy;37.7322 
LVMH Moet Hennessy Louis Vuitton SE;CMOET1E5 CBIN Curncy;37.2924 
Air Liquide SA;CAIF1E5 CBIN Curncy;36.2281 
Nestle SA (EUR);CNESN1E5 CBIN Curncy;32.8238 
Sky Ltd;CBSY1E5 CBIN Curncy;18.3323 
Anheuser-Busch InBev SA/NV;CY021331 CMAI Curncy;72.188 
Banco Bilbao Vizcaya Argentaria SA;CY355855 CMAI Curncy;110.049 
Banco Santander SA;CY362804 CBIN Curncy;114.124 
Commerzbank AG;CY420291 CBIN Curncy;137.62 
Cooperatieve Rabobank UA;CY459633 CBIN Curncy;63.498 
Intesa Sanpaolo SpA;CY469475 CBIN Curncy;161.782 
Mediobanca Banca di Credito Finanziario SpA;CY469555 CBIN Curncy;151.435 
NatWest Group PLC;CT413383 CBIN Curncy;88.086 
Societe Generale SA;CY362084 CBIN Curncy;107.546 
Telia Co AB;CTLIA1E5 CBIN Curncy;57.346 
UBS Group AG;CY350672 CBIN Curncy;87.17 
UniCredit SpA;CY469635 CBIN Curncy;166.552 
Unilever Finance Netherlands BV;CY503698 CBIN Curncy;47.824 
