Name;CDS Ticker;Ask;Change;#SD;3M Low;3M High;3M Avg;+/-;3M Chg
AXA SA;CAXA1E5 CBIN Curncy;104.4588 ;0.9829 ;0.3577 ;67.2524 ;104.4588 ;84.2648 ;20.1939 ;16.1092 
Aegon NV;CAEGO1E5 CBIN Curncy;117.4585 ;0.9733 ;0.2792 ;90.4772 ;125.591 ;105.2524 ;12.2061 ;6.4135 
Air Liquide SA;CAIF1E5 CMAI Curncy;74.23 ;#N/A N/A;0.9277 ;53.59 ;81.50 ;64.0808 ;10.1492 ;(7.27)
Airbus SE;CAER1E5 CBIN Curncy;166.1771 ;1.8452 ;0.3806 ;98.8635 ;166.1771 ;127.0224 ;39.1547 ;32.1363 
Akzo Nobel NV;CAKZO1E5 CBIN Curncy;168.7922 ;1.604 ;0.2705 ;106.59 ;170.4945 ;134.3947 ;34.3975 ;(1.7023)
Allianz SE;CALZ1E5 CBIN Curncy;79.7395 ;1.3746 ;0.5222 ;53.5704 ;82.2758 ;64.3432 ;15.3963 ;8.1753 
Alstom SA;CALS1E5 CBIN Curncy;318.0923 ;(0.3409);(0.0767);195.9644 ;318.0923 ;215.933 ;102.1593 ;102.3634 
Anglo American PLC;CAALL1E5 CBIN Curncy;239.5516 ;1.6063 ;0.2493 ;175.4637 ;254.1449 ;212.1166 ;27.435 ;14.1598 
Anheuser-Busch InBev SA/NV;CY021331 CBIN Curncy;94.0985 ;0.00 ;0.4879 ;74.7777 ;114.7645 ;90.9998 ;3.0987 ;(20.666)
ArcelorMittal SA;CX375736 CBIN Curncy;338.8513 ;2.0383 ;0.229 ;250.554 ;355.7952 ;296.6592 ;42.1921 ;(4.5396)
Assicurazioni Generali SpA;CASS1E5 CBIN Curncy;145.1641 ;0.00 ;0.3261 ;119.2983 ;153.3407 ;135.8014 ;9.3627 ;5.3352 
AstraZeneca PLC;CAZN1E5 CBIN Curncy;71.3747 ;0.1626 ;0.098 ;45.8676 ;71.3747 ;55.4806 ;15.8941 ;9.4552 
Aviva PLC;CAVL1E5 CBIN Curncy;135.2702 ;4.9187 ;1.0951 ;90.5157 ;135.2702 ;107.1679 ;28.1023 ;11.1535 
BAE Systems PLC;CBAE1E5 CBIN Curncy;68.1435 ;1.0334 ;0.5519 ;49.8177 ;68.1435 ;58.2382 ;9.9052 ;0.2064 
BASF SE;CBASF1E5 CBIN Curncy;164.7443 ;4.2256 ;0.5499 ;103.9498 ;190.7901 ;143.1939 ;21.5504 ;(26.0458)
BNP Paribas SA;CY355903 CBIN Curncy;121.9379 ;0.00 ;0.604 ;92.246 ;134.3197 ;110.155 ;11.783 ;(9.2734)
